layer	checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error
13	post_attention_rmsnorm	1.33514404296875000e-4	6.95850793272256851e-3	3.26835992746055126e-3
14	input_rmsnorm	2.02655792236328125e-6	6.95850793272256851e-3	7.37794581800699234e-3
14	attention_output	1.31130218505859375e-6	7.39097595214843750e-6	1.28787420690059662e-2
14	residual_output	2.31933593750000000e-3	2.32672691345214844e-3	8.23663827031850815e-3
14	post_attention_rmsnorm	1.25885009765625000e-4	6.95850793272256851e-3	8.23505222797393799e-3
15	input_rmsnorm	1.66893005371093750e-6	6.95850793272256851e-3	1.15806786343455315e-2
15	attention_output	1.11013650894165039e-6	6.11692667007446289e-6	1.23287858441472054e-2
15	residual_output	2.31933593750000000e-3	2.32545286417007446e-3	2.40250695496797562e-2
15	post_attention_rmsnorm	1.37329101562500000e-4	6.95850793272256851e-3	2.40255910903215408e-2
16	input_rmsnorm	1.90734863281250000e-6	6.95850793272256851e-3	3.12687419354915619e-2
16	attention_output	1.34110450744628906e-6	7.06315040588378906e-6	7.01616192236542702e-3
16	residual_output	2.31933593750000000e-3	2.32639908790588379e-3	1.10524864867329597e-2
16	post_attention_rmsnorm	1.22070312500000000e-4	6.95850793272256851e-3	1.10519872978329659e-2
17	input_rmsnorm	2.26497650146484375e-6	6.95850793272256851e-3	2.74780690670013428e-2
17	attention_output	1.54972076416015625e-6	8.34465026855468750e-6	5.30922319740056992e-3
17	residual_output	2.31933593750000000e-3	2.32768058776855469e-3	6.37376233935356140e-2
17	post_attention_rmsnorm	1.06811523437500000e-4	6.95850793272256851e-3	6.37358725070953369e-2
18	input_rmsnorm	2.38418579101562500e-6	6.95850793272256851e-3	3.65937203168869019e-2
18	attention_output	6.49690628051757812e-6	1.36494636535644531e-5	9.59169492125511169e-3
18	residual_output	2.31933593750000000e-3	2.33298540115356445e-3	5.47286029905080795e-3
18	post_attention_rmsnorm	1.37329101562500000e-4	6.95850793272256851e-3	5.47274574637413025e-3
19	input_rmsnorm	2.74181365966796875e-6	6.95850793272256851e-3	1.07742892578244209e-2
19	attention_output	6.02006912231445312e-6	1.42455101013183594e-5	6.48416252806782722e-3
19	residual_output	2.31933593750000000e-3	2.33358144760131836e-3	8.32410063594579697e-3
19	post_attention_rmsnorm	1.60217285156250000e-4	6.95850793272256851e-3	8.32360796630382538e-3
20	input_rmsnorm	2.98023223876953125e-6	6.95850793272256851e-3	1.08578518033027649e-1
20	attention_output	4.54485416412353516e-6	1.34855508804321289e-5	1.22305871918797493e-2
20	residual_output	2.31933593750000000e-3	2.33282148838043213e-3	5.24934381246566772e-2
20	post_attention_rmsnorm	1.44958496093750000e-4	6.95850793272256851e-3	5.24939186871051788e-2
21	input_rmsnorm	2.98023223876953125e-6	6.95850793272256851e-3	7.69003992900252342e-3
21	attention_output	3.15904617309570312e-6	1.20997428894042969e-5	9.55729186534881592e-2
21	residual_output	2.31933593750000000e-3	2.33143568038940430e-3	1.36844618245959282e-2
21	post_attention_rmsnorm	1.29699707031250000e-4	6.95850793272256851e-3	1.36826941743493080e-2
22	input_rmsnorm	2.74181365966796875e-6	6.95850793272256851e-3	3.34510654211044312e-2
22	attention_output	2.62260437011718750e-6	1.08480453491210938e-5	1.25974630936980247e-2
22	residual_output	2.31933593750000000e-3	2.33018398284912109e-3	1.87282226979732513e-2
22	post_attention_rmsnorm	1.37329101562500000e-4	6.95850793272256851e-3	1.87264699488878250e-2
23	input_rmsnorm	3.45706939697265625e-6	6.95850793272256851e-3	2.22271904349327087e-2
23	attention_output	1.71363353729248047e-6	1.20848417282104492e-5	1.58562101423740387e-2
23	residual_output	2.31933593750000000e-3	2.33142077922821045e-3	6.97684753686189651e-3
23	post_attention_rmsnorm	1.60217285156250000e-4	6.95850793272256851e-3	6.97726430371403694e-3
24	input_rmsnorm	3.45706939697265625e-6	6.95850793272256851e-3	4.10272665321826935e-2
24	attention_output	1.84774398803710938e-6	1.22189521789550781e-5	4.19648922979831696e-2
24	residual_output	2.31933593750000000e-3	2.33155488967895508e-3	5.59350997209548950e-2
24	post_attention_rmsnorm	1.48773193359375000e-4	6.95850793272256851e-3	5.59366866946220398e-2
resources	dense_bytes_read	1914119168	expert_bytes_read=10305404928	total_artifact_bytes_read=12219524096	total_unique_experts=546	total_expert_occurrences=768	hits=0	misses=546	loads=546	evictions=545	resident_bytes=18874368	peak_expert_resident_bytes=18874368	modeled_peak_explicit_bytes=126140262
